Index,Inclination Angle (deg),Right Ascension of Ascending Node (deg),Eccentricity,Argument of Perigee (deg),Mean Anomaly (deg),Mean Motion (revs/day),Orbit Type
4192,0.0166,359.1527,0.000376,138.5575,107.0653,1.002737,S4G
4197,96.8252,60.1173,0.022335,210.0842,148.7423,15.378724,S42
4202,98.3342,247.799,0.000219,137.0292,223.1058,14.35335,S42
4206,99.5296,202.4837,0.002108,195.015,165.0364,13.713689,S42
4207,97.3045,259.769,0.000179,104.2957,12.3219,15.260187,S42
4208,97.3007,260.144,0.000192,91.8486,15.8765,15.281477,S42
4212,88.816,338.7974,0.741502,349.2991,0.8431,2.115335,S4K
4216,0.0365,104.319,0.000126,153.4053,108.9238,1.002693,S4G
4219,14.0379,8.1468,0.000172,267.5045,92.4966,0.999668,S4I
4231,97.1054,252.7106,0.000124,106.3658,357.8261,15.395456,S42
4234,100.2953,195.8761,0.036828,186.3944,173.2403,13.125611,S42
4246,3.3615,287.3118,0.831553,95.1963,352.5169,1.01849,S4D
4257,7.111,67.7356,0.000588,170.7205,189.2307,0.998851,S4I
4289,5.8331,73.0573,0.000531,176.1007,183.781,0.997744,S4I
4301,98.6973,261.4418,0.000146,104.3403,30.3571,14.200378,S42
4321,98.2299,131.3706,0.000158,76.4006,283.738,14.570865,S42
4333,3.6067,76.5412,0.000245,339.805,19.957,1.002902,S4J
4335,13.5793,358.7302,4e-05,173.4196,130.055,1.002695,S4J
4347,0.0668,101.8352,0.000128,204.0103,338.1305,1.002681,S4G
4353,98.5202,133.828,0.000638,52.5177,307.6582,14.255043,S42
4354,2.6291,78.6573,0.000487,14.7163,110.5416,1.002702,S4J
4365,22.9823,335.9596,0.000738,346.7019,13.3264,15.268097,S45
4385,2.6328,78.7944,0.000701,233.8242,125.7749,0.991294,S4I
4387,1.5251,82.1248,0.000399,219.6942,139.6668,0.992587,S4H
4389,0.7284,83.8229,5.4e-05,359.2425,254.1465,1.002743,S4G
4391,34.9586,50.9043,0.000316,34.6412,325.4507,15.248179,S45
4393,98.6845,260.2554,0.000124,63.1284,297.0011,14.200488,S42
4394,0.038,131.2812,4.5e-05,320.7379,242.2166,1.002716,S4G
4406,1.4702,82.0307,7e-05,347.0681,220.7046,1.002698,S4G
4452,0.0156,11.4805,0.00024,88.5147,231.7343,1.002719,S4G
4460,63.8586,79.8991,0.687143,278.6918,1.4144,0.378058,S4V
4465,98.8797,239.8773,0.000776,50.0067,310.1776,13.988201,S42
4495,98.3437,178.4808,0.000358,146.2397,213.9,14.216596,S42
4503,86.9782,16.2694,0.80801,272.1249,0.2266,0.33409,S4V
4515,98.0526,264.2473,0.000465,272.0164,88.0501,14.698933,S42
4538,99.0294,266.5158,0.000792,17.113,343.0316,13.97846,S42
4571,0.0108,34.7984,9.6e-05,52.1631,285.9009,1.002677,S4G
4582,0.0158,236.5079,0.000299,184.6704,185.2906,1.002715,S4G
4595,0.0099,284.6826,7.8e-05,206.6342,176.6353,1.002691,S4G
4600,98.0737,242.0038,0.002727,38.1674,322.1446,14.528959,S42
4604,64.8538,246.1489,0.711243,271.0849,38.6682,2.006522,S4K
4605,2.5318,75.2667,0.004571,192.0801,167.4783,1.004811,S4I
4626,0.0442,353.3458,2.8e-05,27.6156,309.0669,1.002718,S4G
4627,0.049,155.888,0.00038,307.294,316.633,1.002695,S4G
4628,0.1687,213.4945,0.000708,314.1827,130.7835,1.002723,S4G
4635,0.0542,289.2067,0.000119,82.5746,246.1569,1.002678,S4G
4636,98.7092,197.5675,0.001015,44.8551,315.3429,14.209246,S42
4644,82.9481,283.1941,0.003199,150.3324,209.9669,13.719456,S45
4656,31.4069,296.8985,0.000644,72.1003,288.0342,15.006362,S45
4661,0.026,233.2904,0.000181,218.926,273.2381,1.002713,S4G
4662,18.8625,213.8599,0.857106,43.286,357.8612,0.909643,S4A
4666,0.0378,198.5008,0.000308,250.7362,191.3189,1.002701,S4G
4667,64.8541,245.8772,0.711425,271.7158,318.4071,2.006172,S4K
4694,98.0772,68.8072,0.002955,346.2994,13.7405,14.521877,S42
4703,97.994,69.3118,0.001223,141.1314,219.0767,14.629595,S42
4704,54.136,294.4026,0.005108,256.5556,102.9058,2.005644,S4A
4711,97.9827,67.5307,0.001297,144.7214,215.4752,14.627614,S42
4713,0.0411,48.2036,0.000293,54.2109,170.1005,1.002715,S4G
4714,0.0518,262.5485,0.000274,202.4198,188.1847,1.002698,S4G
4717,0.053,267.114,0.000277,189.2823,161.7016,1.002701,S4G
4720,9.9657,320.0622,0.001448,35.1431,325.0322,1.002724,S4J
4721,0.0265,57.9512,0.000174,47.685,206.2482,1.002718,S4G
4722,0.0247,20.9272,7.4e-05,51.3924,205.7631,1.002686,S4G
4724,5.0608,82.634,0.000351,33.6166,241.7978,1.002614,S4J
4726,3.9883,73.2239,0.000491,14.5017,116.9914,1.002833,S4J
4729,28.3042,264.2874,0.722719,254.973,21.2599,2.35398,S4K
4730,28.4698,101.2929,0.719279,78.1346,347.9236,2.291895,S4K
4731,143.4659,14.6338,0.002623,33.6633,71.7581,15.052334,S46
4733,82.9503,338.0316,0.004607,182.5839,177.5091,13.747232,S45
4740,5.7079,71.5214,0.000844,252.1213,257.4042,0.992326,S4I
4751,0.0558,224.0513,0.000318,204.0098,244.3858,1.002715,S4G
